Folder,Latitude,Longitude
71b300,29.24454285,78.98781974
71b300,29.18496002,78.95075966
71b300,29.18431342,78.95061046
71b300,29.17547862,78.94163378
71b300,29.1759953,78.940924
71b300,29.17537206,78.9418155
71b300,29.17803977,78.93913362
71b300,29.17873969,78.93888887
71b300,29.17913517,78.93838562
71b300,29.17872739,78.93826559
71b300,29.18018811,78.93874303
71b300,29.18125714,78.9384101
71b300,29.1824491,78.93870883
71b300,29.18353626,78.93875241
71b300,29.18724901,78.93899381
71b300,29.1880358,78.94032385
71b300,29.18987895,78.93820658
71b300,29.19052288,78.93787801
71b300,29.19022082,78.93726848
71b300,29.19099441,78.93715817
71b300,29.19311205,78.93788438
71b300,29.19425236,78.93724836
71b300,29.19456319,78.9381288
71b300,29.1940106,78.93625528
71b300,29.19305204,78.93664017
71b300,29.19603831,78.93695198
71b300,29.20028884,78.93282205
71b300,29.20123006,78.93435694
71b300,29.20185841,78.93357608
71b300,29.20327899,78.93094651
71b300,29.2037929,78.93050496
71b300,29.20347361,78.93296655
71b300,29.21304051,78.92820161
71b300,29.21413086,78.92873906
71b300,29.21673347,78.92668515
71b300,29.21646514,78.92540541
71b300,29.22306825,78.91917128
71b300,29.22412777,78.91944252
71b300,29.2233553,78.92037392
71b300,29.22571365,78.91498066
71b300,29.22638311,78.91378507
71b300,29.2274815,78.91379748
71b300,29.22800934,78.91255494
71b300,29.22899887,78.91231287
71b300,29.22749526,78.91224314
71b300,29.23155927,78.91193133
71b300,29.23734516,78.90267402
71b300,29.23753094,78.90193339
71b300,29.23674073,78.90211578
71b300,29.23951274,78.88838321
71b300,29.24086084,78.88904136
71b300,29.2401119,78.88854247
71b300,29.24143219,78.88796244
71b300,29.2463446,78.8822205
71b300,29.24802229,78.88199687
71b300,29.24773502,78.88066012
71b300,29.24817587,78.88018303
71b300,29.24854183,78.87968313
71b300,29.24783799,78.87950912
71b300,29.25076124,78.87733217
71b300,29.25046374,78.87760241
71b300,29.25165636,78.8778381
71b300,29.25223467,78.87754943
71b300,29.25523472,78.87524407
71b300,29.2557709,78.87613021
71b300,29.25683475,78.87637999
71b300,29.25616169,78.87693185
71b300,29.26201902,78.87396701
71b300,29.26267596,78.87304332
71b300,29.26354144,78.87013178
71b300,29.26291434,78.87042448
71b300,29.26587079,78.86916887
71b300,29.26668271,78.86846546
71b300,29.26704246,78.86920374
71b300,29.26824132,78.86707138
71b300,29.26653911,78.86761319
71b300,29.27215924,78.86816103
71b300,29.27314192,78.86836387
71b300,29.28181155,78.86071891
71b300,29.28240578,78.85975298
71b300,29.28550466,78.85753747
71b300,29.28647668,78.85667011
71b300,29.28660066,78.85500681
71b300,29.28631351,78.85472484
71b300,29.28695742,78.85379948
71b300,29.28727908,78.85409284
71b300,29.2907445,78.85203056
71b300,29.29121674,78.85129362
71b300,29.29171881,78.85035317
71b300,29.28940554,78.85160275
71b300,29.29006523,78.85036256
71b300,29.29086146,78.84877805
71b300,29.2923352,78.8482929
71b300,29.29527033,78.84059563
71b300,29.29691914,78.82852837
71b300,29.29638172,78.82893607
71b300,29.26038632,78.85820266
71b300,29.26010844,78.85831799
71b300,29.2599543,78.85793041
71b300,29.1685747,78.95555142
71b300,29.16783167,78.95496435
71b300,29.1674868,78.95699982
71b300,29.16657864,78.95645734
71b300,29.16627563,78.95693678
71b300,29.16416037,78.96284234
71b300,29.1652041,78.97020265
71b300,29.16546408,78.97098418
71b300,29.16576417,78.9723045
71b300,29.16674376,78.97609178
71b300,29.166184,78.97587284
71b300,29.1662039,78.98078665
71b300,29.16731787,78.9854718
71b300,29.16768529,78.98479722
71b300,29.16301094,78.99478443
71b300,29.16363573,78.9963666
71b300,29.1631787,78.99719708
71b300,29.16272812,78.99804734
71b300,29.16235015,78.99980754
71b300,29.16207142,79.00045864
71b300,29.16010423,79.00382347
71b300,29.15970428,79.00463451
71b300,29.15805999,79.01122
71b300,29.15758831,79.01192576
71b300,29.15586668,79.01656967
71b300,29.15463517,79.01857764
71b300,29.15326691,79.01975445
71b300,29.15163979,79.02232636
71b300,29.15017018,79.02525768
71b300,28.94876144,79.44489364
71b300,28.92231416,79.46832474
71b300,28.92173546,79.46821176
71b300,28.92088354,79.46934868
71b300,28.92172049,79.46967825
71b300,28.91782678,79.46920585
71b300,28.91754006,79.4700722
71b300,28.91796178,79.46808334
71b300,28.91673183,79.46886353
71b300,28.91632508,79.4689554
71b300,28.9162297,79.4696521
71b300,28.9165713,79.46977247
71b300,28.91647005,79.4702794
71b300,28.91614664,79.47023414
71b300,28.91683367,79.47044805
71b300,28.91454659,79.46838375
71b300,28.91450022,79.46933057
71b300,28.91429625,79.46744733
71b300,28.91355257,79.46748186
71b300,28.91377092,79.46673889
71b300,28.90645647,79.47339814
71b300,28.90616267,79.47408747
71b300,28.9070423,79.47505206
71b300,28.90662024,79.47590768
71b300,28.90537109,79.47657119
71b300,28.90596397,79.47776478
71b300,28.90513041,79.47735038
71b300,28.90802348,79.48460508
71b300,28.9079322,79.48560018
71b300,28.90548937,79.48725108
71b300,28.90267489,79.48433284
71b300,28.90256894,79.48521495
71b300,28.90180814,79.48469594
71b300,28.90139751,79.48546071
71b300,28.90076967,79.48502351
71b300,28.89906577,79.48478244
71b300,28.89950401,79.48412899
71b300,28.89898212,79.48409546
71b300,28.89812737,79.48375918
71b300,28.89710912,79.48448773
71b300,28.89563764,79.4878814
71b300,28.89497982,79.48767219
71b300,28.89624672,79.48796421
71b300,28.89779979,79.48955074
71b300,28.89850044,79.48969524
71b300,28.90054542,79.49078053
71b300,28.90034231,79.49244417
71b300,28.88409228,79.52723812
71b300,28.88679335,79.52896547
71b300,28.89197015,79.5365997
71b300,28.8787636,79.57728446
71b300,28.87843743,79.57801402
71b300,28.87807016,79.58118942
71b300,28.87775103,79.58194412
71b300,28.86849329,79.64653742
71b300,28.86978869,79.64726966
71b300,28.87250189,79.65288017
71b300,28.8754352,79.66381721
71b300,28.8760215,79.66445893
71b300,28.87580513,79.66557607
71b300,28.87759543,79.66400698
71b300,28.87779096,79.66537692
